Population,Town
619,"Collooney, Sligo"
623,"Drumshanbo, Leitrim"
625,"Lahinch, Clare"
625,"Taghmon, Wexford"
626,"Ballyheigue, Kerry"
627,"Ballybay Environs, Monaghan"
629,"Carraroe, Galway"
631,"Strokestown, Roscommon"
636,"Passage East, Waterford"
642,"Ballygar, Galway"
646,"Leighlinbridge, Carlow"
650,"Killala, Mayo"
652,"Kilbeggan, Westmeath"
654,"Ballycannan, Clare"
656,"Cratloe, Clare"
663,"Loughshinny, Fingal"
663,"Newtowncunningham, Donegal"
667,"Mount Bellew, Galway"
668,"Inniscrone, Sligo"
668,"Summerhill, Meath"
678,"Moneenroe, Kilkenny"
679,"Innishannon, Cork"
684,"Cappamore, Limerick"
687,"Ballinamore, Leitrim"
691,"Ardfert, Kerry"
692,"Tinahely, Wicklow"
693,"Schull, Cork"
695,"Bruff, Limerick"
703,"Headford, Galway"
705,"Rhode, Offaly"
715,"Killenaule, Tipperary South"
717,"Durrow, Laois"
717,"Kilmacthomas, Waterford"
721,"Castlebellingham/Kilsaran, Louth"
726,"Castledermot, Kildare"
726,"Meathas Truim (or Edgeworthstown), Longford"
735,"Bennettsbridge, Kilkenny"
739,"Urlingford, Kilkenny"
753,"Charlestown-Bellahy, Mayo and Sligo"
756,"Cappoquin, Waterford"
756,"Freshford, Kilkenny"
773,"Muff, Donegal"
774,"Aghada-Farsid-Rostellan, Cork"
774,"Rosses Point, Sligo"
777,"Daingean, Offaly"
778,"Piltown, Kilkenny"
779,"Ardfinnan, Tipperary South"
779,"Kilfinane, Limerick"
779,"Stamullen, Meath"
783,"Castlefin, Donegal"
785,"Cloyne, Cork"
786,"Ballymore Eustace, Kildare"
786,"Mohill, Leitrim"
789,"Glenties, Donegal"
791,"Derrinturn, Kildare"
793,"Ballivor, Meath"
793,"Milford, Donegal"
800,"Doneraile, Cork"
807,"Scarriff, Clare"
809,"Carnew, Wicklow"
814,"Dunlavin, Wicklow"
821,"Ballyragget, Kilkenny"
822,"Lisdoonvarna, Clare"
823,"Slane, Meath"
827,"Ballymahon, Longford"
832,"Borrisokane"
834,"Kilmacanogue, Wicklow"
845,"Tallow, Waterford"
851,"Newcastle, Wicklow"
852,"Falcarragh (or Cross Roads), Donegal"
852,"Fountainstown, Cork"
853,"Ballisodare, Sligo"
854,"Mooncoin, Kilkenny"
871,"Aughrim, Wicklow"
871,"Ballyjamesduff, Cavan"
875,"Castletownbere, Cork"
878,"Foxford, Mayo"
879,"Kilcormac (or Frankford), Offaly"
881,"Ennistymon, Clare"
883,"Moycullen, Galway"
887,"Newport, Tipperary North"
895,"Castlepollard, Westmeath"
906,"Clogherhead, Louth"
921,"Askeaton, Limerick"
926,"Ardnacrusha (Castlebank), Clare"
927,"Manorhamilton, Leitrim"
935,"Crossmolina, Mayo"
937,"Oldcastle, Meath"
943,"Lanesborough-Ballyleague, Longford and Roscommon"
946,"Dungloe, Donegal"
949,"Dromiskin, Louth"
949,"Raphoe, Donegal"
952,"Belmullet, Mayo"
981,"Ballymote, Sligo"
985,"Ferns, Wexford"
987,"Buttevant, Cork"
998,"Patrickswell, Limerick"
1000,"Delvin, Westmeath"
1000,"Kiltimagh, Mayo"
1002,"Strandhill, Sligo"
1013,"Castlebridge, Wexford"
1013,"Granard, Longford"
1014,"Dunleer, Louth"
1028,"Convoy, Donegal"
1038,"Ballygeary (or Rosslare Harbour), Wexford"
1051,"Ramelton, Donegal"
1055,"Newmarket, Cork"
1056,"Croom, Limerick"
1072,"Enfield, Meath"
1093,"Virginia, Cavan"
1102,"Adare, Limerick"
1111,"Rathdowney, Laois"
1145,"Rosslare, Wexford"
1160,"Newcastle, Dublin"
1171,"Tubbercurry, Sligo"
1174,"Killaloe, Clare"
1178,"Stradbally, Laois"
1182,"Lismore, Waterford"
1183,"Portlaw, Waterford"
1185,"Ballina, Tipperary"
1198,"Ferbane, Offaly"
1206,"Hospital, Limerick"
1209,"Oughterard, Galway"
1235,"Portumna, Galway"
1260,"Baltinglass, Wicklow"
1260,"Kilkee, Clare"
1289,"Millstreet, Cork"
